月份,取值类型,科目编码,科目名称,公司名称,币种,商品大类,平台,行政组织,业务时间,借方发生额,贷方发生额,摘要,凭证号,制单人,来源类型
202601,核算取值,6403.06,营业税金及附加_印花税,新沂福之禄至信息技术有限公司,人民币,,,,'2026-01-31 00:00:00,7220.13,,计提印花税&调整费用+0%,00143,,手工凭证
202601,核算取值,6801.01,所得税_计提所得税,新沂福之禄至信息技术有限公司,人民币,,,,'2026-01-31 00:00:00,11696.22,,计提26年1月企业所得税,00145,,手工凭证
202601,核算取值,6301.01,营业外收入_财政补贴,新沂福云网络科技有限公司,人民币,,,,'2026-01-26 00:00:00,,3617000.0,2025年11月销售补贴款361.7万,00025
202601,核算取值,6301.01,营业外收入_财政补贴,新沂福云网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,,-3617000.0,冲1月25#2025年11月销售补贴款361.7万,00095,,手工凭证
202601,核算取值,6401.03.01,主营业务成本_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,兼职人员,'2026-01-31 00:00:00,-12880.0,,红冲1月93#确认202512月薪资,00097,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,财务部,'2026-01-31 00:00:00,-5000.0,,红冲1月93#确认202512月薪资,00097,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,运营部,'2026-01-31 00:00:00,2467.5,,计提2025.12月人员工资,00102,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,运营部,'2026-01-31 00:00:00,2800.0,,计提2025.12月人员工资,00102,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,客服部,'2026-01-31 00:00:00,2362.5,,计提2025.12月人员工资,00102,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,财务部,'2026-01-31 00:00:00,5000.0,,计提2025.12月人员工资,00102,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,研发部本部,'2026-01-31 00:00:00,2450.0,,计提2025.12月人员工资,00102,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福云网络科技有限公司,人民币,,,商务支持部本部,'2026-01-31 00:00:00,2800.0,,计提2025.12月人员工资,00102,,手工凭证
202601,核算取值,6403.03,营业税金及附加_地方教育费附加,新沂福云网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,31011.73,,计提地方教育费附加税&调整费用+0%,00106,,手工凭证
202601,核算取值,6403.01,营业税金及附加_城市维护建设税,新沂福云网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,77529.34,,计提城建税&调整费用+0%,00106,,手工凭证
202601,核算取值,6403.02,营业税金及附加_教育费附加,新沂福云网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,46517.6,,计提教育费附加税&调整费用+0%,00106,,手工凭证
202601,核算取值,6403.06,营业税金及附加_印花税,新沂福云网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,15930.36,,计提印花税&调整费用+0%,00106,,手工凭证
202601,核算取值,6801.01,所得税_计提所得税,新沂福云网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,28577.2,,计提1月企业所得税&调整费用+0%,00108,,手工凭证
202601,核算取值,6001.02,主营业务收入_寄售收入,新疆福佑网络科技有限公司,人民币,手游,天猫+WeGame旗舰店-福游云,,'2026-01-31 00:00:00,,3.21,福游云平台+寄售订单服务-卡密,00791,曾峰,其它系统引入
202601,核算取值,6001.02,主营业务收入_寄售收入,新疆福佑网络科技有限公司,人民币,手游,拼多多+拼多多腾讯游戏旗舰店,,'2026-01-31 00:00:00,,159.53,福游云平台+寄售订单服务-卡密,00792,曾峰,其它系统引入
202601,核算取值,6001.02,主营业务收入_寄售收入,新疆福佑网络科技有限公司,人民币,手游,天猫+腾讯游戏旗舰-福游云,,'2026-01-31 00:00:00,,-0.94,福游云平台+寄售订单服务-卡密,00793,曾峰,其它系统引入
202601,核算取值,6401.02.06,主营业务成本_直接服务费_佣金服务费,新疆福佑网络科技有限公司,人民币,,,游戏生态电商中心本部,'2026-01-31 00:00:00,184.6,,计提京东腾讯游戏店+服务费+1月&调整费用+0%,00806,曾峰,手工凭证
202601,核算取值,6401.02.07,主营业务成本_直接服务费_平台服务费,新疆福佑网络科技有限公司,人民币,,,游戏生态电商中心本部,'2026-01-31 00:00:00,104.87,,服务器托管费&调整费用+6%,00807,曾峰,手工凭证
202601,核算取值,6801.01,所得税_计提所得税,新疆葫芦娃网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,1366107.43,,计提企业所得税,00019,潘霞,手工凭证
202601,核算取值,6403.06,营业税金及附加_印花税,新疆葫芦娃网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,50.6,,计提新疆葫芦娃印花税&调整费用,00020,潘霞,手工凭证
202601,核算取值,6602.02.01,管理费用_房租物业费_房租,杭州福之禄至信息技术有限公司,人民币,,,客户发展中心群本部,'2026-01-31 00:00:00,-2465.32,,1月房租合同到期，新换签出租方，冲销多计提摊销&调整费用+5%,00124,,手工凭证
202601,核算取值,6401.03.01,主营业务成本_工资性支出_员工工资,杭州福之禄至信息技术有限公司,人民币,,,支付宝运营部,'2026-01-31 00:00:00,10173.91,,调整12月工资费用属性错误&调整费用+0%,00126,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,杭州福之禄至信息技术有限公司,人民币,,,支付宝运营部,'2026-01-31 00:00:00,-10173.91,,调整12月工资费用属性错误&调整费用+0%,00126,,手工凭证
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,杭州福之禄至信息技术有限公司,人民币,卡券,福禄开放平台,,'2026-01-31 00:00:00,0.01,,调整入库尾差&调整成本+广州吉先信息科技有限公司+9356917,00129,,手工凭证
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,杭州福之禄至信息技术有限公司,人民币,卡券,TOB,,'2026-01-31 00:00:00,,1027.31,充值平台+销售订单自营-直充,00130,预设用户,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,杭州福之禄至信息技术有限公司,人民币,生活服务,TOB,,'2026-01-31 00:00:00,96.23,,充值平台+销售订单自营-直充,00130,预设用户,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,杭州福之禄至信息技术有限公司,人民币,网娱,TOB,,'2026-01-31 00:00:00,,4222.26,充值平台+销售订单自营-直充,00130,预设用户,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,杭州福之禄至信息技术有限公司,人民币,生活服务,TOB,,'2026-01-31 00:00:00,,101.89,充值平台+销售订单自营-直充,00130,预设用户,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,杭州福之禄至信息技术有限公司,人民币,卡券,TOB,,'2026-01-31 00:00:00,1008.73,,充值平台+销售订单自营-直充,00130,预设用户,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,杭州福之禄至信息技术有限公司,人民币,网娱,TOB,,'2026-01-31 00:00:00,3868.86,,充值平台+销售订单自营-直充,00130,预设用户,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,杭州福之禄至信息技术有限公司,人民币,网娱,TOB,,'2026-01-31 00:00:00,,24461.79,充值平台+销售订单自营-直充,00131,预设用户,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,杭州福之禄至信息技术有限公司,人民币,网娱,TOB,,'2026-01-31 00:00:00,23652.08,,充值平台+销售订单自营-直充,00131,预设用户,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,杭州福之禄至信息技术有限公司,人民币,网娱,TOB,,'2026-01-31 00:00:00,13190.27,,充值平台+销售订单自营-直充,00132,预设用户,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,杭州福之禄至信息技术有限公司,人民币,网娱,TOB,,'2026-01-31 00:00:00,,15468.19,充值平台+销售订单自营-直充,00132,预设用户,其它系统引入
202601,核算取值,6403.06,营业税金及附加_印花税,杭州福之禄至信息技术有限公司,人民币,,,,'2026-01-31 00:00:00,16.48,,计提2026年1月印花税&调整费用+0.03%/0.1%,00133,,手工凭证
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,杭州福之禄至信息技术有限公司,人民币,卡券,TOB,,'2026-01-31 00:00:00,25.31,,调整组合订单失败应冲销预收，但实际冲销收入和成本，本月先手工调整，次月线上提单补充&调整成本+湖北福之禄至网络科技有限公司+62069888,00135,,手工凭证
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,杭州福之禄至信息技术有限公司,人民币,卡券,TOB,,'2026-01-31 00:00:00,,25.9,调整组合订单失败应冲销预收，但实际冲销收入和成本，本月先手工调整，次月线上提单补充&调整收入+上海超数信息科技有限公司+60370071,00135,,手工凭证
202601,核算取值,6601.04.03.01,销售费用_办公费_差旅费_市内交通,杭州福之禄至信息技术有限公司,人民币,,,拓展二部（银行&生活服务）,'2026-01-31 00:00:00,10.44,,滴滴打车数电普票2026年1月1日起不再进项抵扣，需转出&调整费用+3%,00137,,手工凭证
202601,核算取值,6602.04.03.01,管理费用_办公费_差旅费_市内交通,杭州福之禄至信息技术有限公司,人民币,,,董事会,'2026-01-31 00:00:00,9.95,,滴滴打车数电普票2026年1月1日起不再进项抵扣，需转出&调整费用+3%,00137,,手工凭证
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,武汉一起游网络科技有限公司,人民币,手游,拼多多+一起游数娱专营店-福游云,,'2026-01-31 00:00:00,3539.29,,福游云平台+销售订单自营-直充,00234,曾峰,其它系统引入
202601,核算取值,6001.02,主营业务收入_寄售收入,武汉一起游网络科技有限公司,人民币,手游,拼多多+一起游数娱专营店-福游云,,'2026-01-31 00:00:00,,3798.13,福游云平台+寄售订单服务-直充,00234,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,拼多多+一起游数娱专营店-福游云,,'2026-01-31 00:00:00,,5004.53,福游云平台+销售订单自营-直充,00234,曾峰,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,武汉一起游网络科技有限公司,人民币,手游,京东+福游云-一起游游戏服务专营店,,'2026-01-31 00:00:00,19366.94,,福游云平台+销售订单自营-直充,00235,曾峰,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,武汉一起游网络科技有限公司,人民币,手游,京东+福游云-一起游游戏服务专营店,,'2026-01-31 00:00:00,80.15,,福游云平台+销售订单自营-卡密,00235,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,京东+福游云-一起游游戏服务专营店,,'2026-01-31 00:00:00,,24204.91,福游云平台+销售订单自营-直充,00235,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,京东+福游云-一起游游戏服务专营店,,'2026-01-31 00:00:00,,100.19,福游云平台+销售订单自营-卡密,00235,曾峰,其它系统引入
202601,核算取值,6001.02,主营业务收入_寄售收入,武汉一起游网络科技有限公司,人民币,手游,福游云平台+微博小店,,'2026-01-31 00:00:00,,20.57,福游云平台+寄售订单服务-卡密,00236,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,福游云平台,,'2026-01-31 00:00:00,,38237.74,福游云平台+销售订单自营-直充,00237,预设用户,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,武汉一起游网络科技有限公司,人民币,手游,福游云平台,,'2026-01-31 00:00:00,36620.24,,福游云平台+销售订单自营-直充,00237,预设用户,其它系统引入
202601,核算取值,6001.02,主营业务收入_寄售收入,武汉一起游网络科技有限公司,人民币,手游,福游云平台,,'2026-01-31 00:00:00,,12.36,福游云平台+寄售订单服务-直充,00238,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+一起游网游专营店-福游云,,'2026-01-31 00:00:00,,92707.36,福游云平台+销售订单自营-直充,00239,曾峰,其它系统引入
202601,核算取值,6001.02,主营业务收入_寄售收入,武汉一起游网络科技有限公司,人民币,手游,天猫+一起游网游专营店-福游云,,'2026-01-31 00:00:00,,1213.01,福游云平台+寄售订单服务-直充,00239,曾峰,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+一起游网游专营店-福游云,,'2026-01-31 00:00:00,122.04,,福游云平台+销售订单自营-卡密,00239,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+一起游网游专营店-福游云,,'2026-01-31 00:00:00,,152.55,福游云平台+销售订单自营-卡密,00239,曾峰,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+一起游网游专营店-福游云,,'2026-01-31 00:00:00,70001.03,,福游云平台+销售订单自营-直充,00239,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+一起游电玩专营店-福游云,,'2026-01-31 00:00:00,,1280.57,福游云平台+销售订单自营-卡密,00240,预设用户,其它系统引入
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+一起游电玩专营店-福游云,,'2026-01-31 00:00:00,1020.58,,福游云平台+销售订单自营-卡密,00240,预设用户,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+履冰旗舰店-福游云,,'2026-01-31 00:00:00,,-5.66,福游云平台+销售订单自营-直充,00241,曾峰,其它系统引入
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉一起游网络科技有限公司,人民币,手游,天猫+履冰旗舰店-福游云,,'2026-01-31 00:00:00,,29579.25,福游云平台+销售订单自营-直充,00241,曾峰,其它系统引入
202601,核算取值,6401.02.06,主营业务成本_直接服务费_佣金服务费,武汉一起游网络科技有限公司,人民币,,,游戏生态电商中心本部,'2026-01-31 00:00:00,500.82,,计提+京东+一起游游戏服务专营店-福游云店铺服务费&调整费用+6%,00265,曾峰,手工凭证
202601,核算取值,6601.02.01,销售费用_营销费_平台推广服务费,武汉一起游网络科技有限公司,人民币,,,游戏生态电商中心本部,'2026-01-31 00:00:00,61.02,,计提+微博小店-店铺服务费&调整费用+0%,00339,曾峰,手工凭证
202601,核算取值,6401.02.06,主营业务成本_直接服务费_佣金服务费,武汉一起游网络科技有限公司,人民币,,,游戏生态电商中心本部,'2026-01-31 00:00:00,19.63,,计提+微博小店-店铺服务费&调整费用+0%,00339,曾峰,手工凭证
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,武汉亿禄网络科技有限公司,人民币,网娱,福禄开放平台,,'2026-01-31 00:00:00,,-0.09,调整关联往来差异&调整收入+西藏福禄网络科技有限公司+9000152+6%,00253,朱丹,手工凭证
202601,核算取值,6401.03.01,主营业务成本_工资性支出_员工工资,武汉亿禄网络科技有限公司,人民币,,,运营二部本部,'2026-01-31 00:00:00,-4484.4,,调整2025年5月-运营二部-武安玲生育津贴费用&调整费用+0%,00255,朱丹,手工凭证
202601,核算取值,6403.06,营业税金及附加_印花税,武汉亿禄网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,4.01,,计提技术合同印花税&调整费用+0%,00258,朱丹,手工凭证
202601,核算取值,6601.04.03.02,销售费用_办公费_差旅费_长途交通,武汉天识科技有限公司,人民币,,,业务九组,'2026-01-31 00:00:00,-38.23,,调整通信业务12月15-18日、23-27日出差报销WHTS-XZ-FK-20260114-00001&调整费用+9%,00250,,手工凭证
202601,核算取值,6401.06.03,主营业务成本_技术服务成本 _推广服务费,武汉天识科技有限公司,人民币,通信,,,'2026-01-31 00:00:00,0.04,,调整长沙东江网络科技有限公司发票尾差&调整成本+长沙东江网络科技有限公司+6%,00252,,手工凭证
202601,核算取值,6403.06,营业税金及附加_印花税,武汉天识科技有限公司,人民币,,,,'2026-01-31 00:00:00,1123.22,,计提印花税&调整费用+0%,00254,,手工凭证
202601,核算取值,6401.02.06,主营业务成本_直接服务费_佣金服务费,武汉搜卡科技有限公司,人民币,,,游戏生态电商中心本部,'2026-01-31 00:00:00,114.9,,计提+京东+搜卡游专营店-切换主体店铺服务费&调整费用+6%,00187,曾峰,手工凭证
202601,核算取值,6001.02,主营业务收入_寄售收入,武汉搜卡科技有限公司,人民币,手游,天猫+搜卡手游专营店-福游云,,'2026-01-31 00:00:00,,15584.67,福游云平台+寄售订单服务-直充,00191,预设用户,其它系统引入
202601,核算取值,6001.02,主营业务收入_寄售收入,武汉搜卡科技有限公司,人民币,手游,福游云平台,,'2026-01-31 00:00:00,,120188.68,福游云平台+寄售订单服务-卡密,00192,曾峰,其它系统引入
202601,核算取值,6403.01,营业税金及附加_城市维护建设税,武汉搜卡科技有限公司,人民币,,,,'2026-01-31 00:00:00,4187.57,,计提城建税&调整费用+0%,00240,曾峰,手工凭证
202601,核算取值,6403.02,营业税金及附加_教育费附加,武汉搜卡科技有限公司,人民币,,,,'2026-01-31 00:00:00,1794.67,,计提教育费附加税&调整费用+0%,00240,曾峰,手工凭证
